FEN,Move
8/pp6/5p2/4bk2/2r2p2/4p3/PP4K1/6R1 w - - 2 36,g2f3
1R6/8/8/2Kp4/k1b1p3/2p4p/p1r4P/8 b - - 5 54,c4a6
2r3k1/5pp1/5p1p/8/R2P4/3r3P/5PP1/1R4K1 w - - 1 31,g2g3
rnbq1rk1/ppp2ppp/3p1n2/3Pp3/2P5/2P2P2/P3P1PP/R1BQKBNR w KQ - 1 7,e2e4
rn3rk1/pp1bp1bp/1q1p1pp1/2pP4/4P1P1/2NQBN2/P1P2P1P/K1R4R b - - 4 16,d7g4
r1bqkbnr/1pp1n3/p4p1p/1P1p4/3P4/2N2N2/P4PPP/R1BQKB1R w KQkq - 0 11,f3h4
4k3/6Rp/5p2/8/8/2p4P/r4PP1/6K1 w - - 0 29,g7c7
rnbq1rk1/1p2ppbp/p2p1np1/2pN4/4P3/1B1P1N2/PPP2PPP/R1BQ1RK1 b - - 4 8,f6d5
8/1k6/1P6/2B3pp/2pK4/3b4/6P1/8 w - - 0 45,g2g3
r1bq1rk1/1p4pp/3bp3/p2pnp2/P1pPnB2/2P1P2P/1PBN1PP1/R2Q1RK1 w - - 0 13,f4e5
rn3rk1/pp2np1p/1qp1p1p1/3p4/1Q1P4/2P1B1PB/P3NP1P/RN3RK1 b - - 0 14,e7f5
8/p4ppp/2Rnk3/7P/6P1/1r3PK1/8/8 b - - 0 54,b3b6
r1bqr1k1/ppp2ppp/1b1p4/4P1N1/3P2n1/2NQ4/PP3PPP/R1B2RK1 b - - 1 13,g7g6
r3k2r/1p1bnp2/1qn1p3/p2pP1Q1/Pb1p4/1N1B1N2/1PP1RPPP/R5K1 b kq - 0 15,e8c8
2k3r1/pp3p2/2n2p2/2p1pqb1/6B1/1P1P2P1/P2N1P1K/R2Q1R2 b - - 0 19,f5e6
8/8/p3kpK1/4p2P/3r2P1/R4P2/8/8 b - - 0 48,d4f4
r4rk1/pR6/2p2pb1/3p2pP/8/1BB2P2/PPP4P/2K1R3 b - - 0 25,g6h5
2k2bnr/ppq1pppp/2n5/2p5/5P2/4P3/P2rB1PP/3Q1RK1 w - - 0 15,d1d2
r2qbrk1/pp2b1p1/2p1p2p/2Pp3Q/1P1Pp3/4P1P1/PB3PBP/2R2RK1 w - - 3 18,h5g4
rnb1kbnr/pp1p1ppp/1q2p3/2p5/2P4P/5NP1/PP1PPP2/RNBQKB1R b KQkq - 0 4,d7d5
5k2/p5p1/1p3p2/2b2q2/2K5/2P5/PP1p4/3R4 w - - 0 45,c4b3
r1b5/p1b3qp/3k4/1N1p4/2p1p3/N1P1Q3/PP6/2K2R2 b - - 9 33,d6c6
4R3/8/8/5pp1/6k1/8/4K3/8 w - - 0 53,e2e3
2kr4/1pp3pp/p1p3p1/2b5/6P1/2NP4/PPP2r2/R1B1RK2 w - - 0 18,f1g1
r5k1/6p1/r6p/2RP1q2/8/4Q2P/5PP1/3R2K1 b - - 3 29,a6d6
r1bq1rk1/3nb1pp/p3pp2/1pppP2Q/5P2/PP1BP3/1BPN2PP/R4RK1 b - - 1 13,f6f5
3q1rk1/r2nbppp/p3p3/4P3/2Q5/5N1P/PBP3P1/R4RK1 w - - 1 19,b2d4
8/4k3/8/1p6/1p2PR2/P7/1B4PP/6K1 b - - 1 48,b4b3
4R3/4kp2/p5p1/6P1/b2p4/1q2p3/8/K7 b - - 9 52,e7d6
5rk1/1R4p1/1pr1pp2/3p2p1/8/5QP1/PPP2P1P/2K5 w - - 0 21,f3h5
8/1p1k4/p1p5/2PpK3/1P6/4r3/8/3R4 w - - 2 46,e5f6
8/8/5k2/2p3p1/2P3P1/p6K/P7/8 w - - 1 59,h3g3
8/p4p1p/1p2rk2/3p4/3R4/2P2P2/PP4PP/5K2 b - - 0 28,f6e5
2r5/7R/4p3/5p1k/2r2b2/2B5/2K1R1PP/8 b - - 0 35,h5g6
2r2k1r/pp1n1pbp/1q1ppnp1/2pP4/2P5/P1N1PB1P/1P3PP1/1RBQ1RK1 w - - 0 13,d5e6
1r2kb1r/p5pp/2p2p2/3np3/1PB5/P7/1B3PPP/R4RK1 b k - 2 19,a7a5
8/1p5p/1b6/1P2rpk1/8/1R2p3/3K4/8 w - - 0 65,d2e2
kq1r2r1/pp3p2/1n2p3/PpP2p2/3P3p/1K3PbB/2QR2P1/R7 w - - 0 42,a5b6
r1b2rk1/p1q1bppp/2pp1n2/1p2NPB1/4P3/1BN4P/PPP3P1/R2Q1RK1 b - - 0 14,d6e5
r3kb2/ppp2Npp/4qn2/4pn2/8/2PP4/PP3PPP/RNBQK2R w KQq - 0 12,f7g5
1rb5/1p2kp1p/p2ppp2/8/PPP1P3/5P2/4B2P/3RK3 b - - 0 21,a6a5
4r1k1/1pp2p2/p5p1/3P3P/1PP5/P2K4/7R/8 b - - 0 30,e8e1
1k1r3r/1p6/p1b2q1n/2Q1p1p1/1P5p/2P1PP2/P3B1P1/R1B2RK1 w - - 1 23,e3e4
rnb2rk1/1p2qppp/p3p3/2p5/3P4/2PBPN2/P4PPP/R2Q1RK1 b - - 1 11,b7b6
8/8/8/2k5/4q3/1p1q4/8/2K5 b - - 9 68,e4h7
5r1k/1pR2p1p/4pp1Q/p4r2/P2P3N/q6P/5PPK/8 b - - 9 29,f5h5
3r1rk1/pp3pp1/1q5p/4n2Q/1b2NP1P/4P1P1/PP4B1/2R3KR w - - 1 25,f4e5
8/8/8/8/2K5/5k2/3q4/4q3 b - - 5 65,f3g4
5rk1/ppp2ppp/n2p4/3P4/1PP4P/P1B2Rq1/3N4/2K3R1 b - - 0 23,g3g1
8/8/3k4/1p6/3p4/KP1N4/2P5/8 w - - 0 48,a3b4
2r3k1/1p3pp1/4p3/2r1PPb1/1RP1P1Pp/3p1B1P/3p1K2/1R6 w - - 6 31,b4b3
rnb1k2r/ppp2pp1/2qb1n1p/4p3/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq - 3 8,c6d7
8/R3qn1p/p2pkp2/np2p2p/4P3/1P6/PBPP1P2/2K1N3 w - - 2 24,a7e7
r2qkb1r/p2n1ppp/2pp1n2/1p2p3/2B1P3/1PNP1P2/P1PQ1P1P/R1B1K2R w KQkq - 0 9,c3b5
r1bqkb1r/p1p2ppp/5n2/1B6/3p4/2N5/PPP2PPP/R1BQ1RK1 b kq - 1 10,c8d7
rn1q1rk1/pp3pp1/2pbbn1p/3p4/1P6/P1NP1NP1/4PPBP/R1BQ1RK1 b - - 0 10,f8e8
r4rk1/1p5p/p2pbpp1/8/7P/4P1P1/2q2PK1/8 w - - 1 34,g3g4
r4rk1/2p2pp1/3pq2p/p3p3/1p2PP2/P2P4/1PP1N1PP/1K1R3R w - - 0 20,f4f5
8/4r2p/p3k1p1/1p2ppB1/7Q/2P4P/PP3PPK/3q4 b - - 3 32,e7d7
1q3rk1/2p1bppp/3p2n1/3Pp3/1r2n3/Q4NP1/1P3P1P/R1B1RBK1 w - - 0 19,h2h4
r4rk1/p6p/6p1/P4p2/2Q1P3/8/3N1PPP/5RK1 b - - 0 27,f8f7
2kr1b1r/pp1npp2/2pq1np1/3p2Np/3P2b1/2PBP2P/PPQN1PP1/R1B1R1K1 w - - 7 12,g5f7
8/3R1pk1/6pp/5n2/5P2/7R/1P3KPP/8 b - - 3 32,g7g8
r4rk1/3b2pp/p1pNp3/1p1nPp2/3P4/P1P1PR2/1P1B2PP/R5K1 b - - 3 21,d5b6
5rk1/5ppp/2p4P/8/8/6P1/P1P2bK1/8 w - - 0 31,h6g7
r2q1rk1/p2nbppp/4p3/1Q6/2P2B2/8/PP3PPP/RN3RK1 b - - 0 13,d7c5
4kr2/q2p1p1p/2p1p1P1/3pP1P1/1P1P2P1/B1P5/8/4KQ2 b - - 0 24,f7g6
r3Bb2/pp3Q2/nkp4p/3pPb2/1Pq5/K1P1B3/P6P/RN6 b - - 4 26,f8c5
8/8/2k5/1p6/1K3Bn1/8/8/8 b - - 1 59,g4h2
r5rk/pp2np1p/1q3p2/4p3/1P6/2PP1N1K/P2N2PP/R3Q2R w - - 7 19,h1g1
7r/5pk1/p5p1/1p5n/1B1b1P1p/5R2/PPP3PP/R6K b - - 0 25,h5g3
1r3rk1/5ppp/p1nqpn2/1p1pN2b/3P4/1QPB1N1P/PP3PP1/R3R1K1 b - - 1 15,h5f3
8/Pb5K/2p5/8/2N5/3P4/P1k5/8 w - - 0 54,c4e5
2kr3r/1pp3pp/p1n1bp2/3p1n2/1b6/3BPNB1/PPP1NPPP/2KR3R w - - 4 15,e2f4
r4rk1/p1pq1ppp/3b1n2/3N4/8/8/PPP2PPP/R1BQ1RK1 b - - 0 12,f6d5
r1b2rk1/2q1bpp1/p1n1pn1p/1p2P3/3p1PPB/1NNB4/PPPQ3P/1K1R3R w - - 0 16,e5f6
3r1r2/p1k4p/1P2p3/1P4pq/2B2pn1/2PP4/3Q1PPP/R4RK1 b - - 0 26,c7d6
8/B1b5/8/1P5k/6r1/1RP3p1/8/6K1 b - - 3 44,g4a4
r3k2r/ppp1bpp1/2n2n1p/4p1N1/1PqpP3/P5P1/2P2P1P/R1BQRBK1 b kq - 1 14,d4d3
r1bqk1nr/ppp1n1b1/3p3p/3Pp1p1/2P1Pp2/2NB1P2/PP1Q1BPP/R3K1NR w KQkq - 0 11,c4c5
rn1qk1nr/pppb1ppp/3bp3/1B6/3P4/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 3 7,d7b5
r1bq1rk1/pppnbppp/4pn2/8/2BP4/2N1PN2/PP1B1PPP/R2Q1RK1 b - - 6 8,c7c5
r2q1rk1/pp1nbppn/2p4P/3ppQp1/6P1/1BNP1N2/PPP2P2/2KR3R b - - 0 16,g7g6
r3k2r/pp1nqpb1/2ppbn1p/4p3/B3P1PR/2NPBQ2/PPP1NP2/R3K3 b Qkq - 0 17,f6e4
1rbq1rk1/1p1nbppp/p1n1p3/2ppP3/P1P5/2NPBN2/1P2BPPP/R2Q1RK1 w - - 1 11,c4d5
3k4/p6p/1p1N2p1/2p2p2/6B1/P2P3P/1PPQ1PP1/4R1K1 w - - 19 38,g4f5
r1b2rk1/1pq2ppp/3p4/pPn1P3/8/P1Q1B2P/1P4P1/R4BKR w - - 1 17,e5d6
rnb1kb1r/1ppp1ppp/p7/3Pp2n/4P2P/2PB2P1/PP3P2/RNB1K1NR b KQkq - 0 10,h5f6
r4rk1/pb1n1ppp/8/1P5n/PQP2P2/3P1P2/4B1KP/4R3 b - - 4 24,h5f4
2rr2k1/p4pp1/bp2p2p/3p4/1b1P3P/1P5N/PB3PBP/2RR2K1 b - - 5 23,b4e7
r2qkb1r/3n1pp1/p1bp1n1p/4p3/p1P1P3/N1P2N2/1PB1QPPP/R1B2RK1 w kq - 0 13,f3e1
r1b1r1k1/pp4pp/2n1q3/2Pp4/P2P1p2/4PPP1/1BNQ1R1P/R4BK1 w - - 2 21,e3f4
r6r/p4p1p/p1p1pk2/8/3P3N/5P2/1PPR2PP/1K5R w - - 0 19,h1e1
3r1rk1/2q2ppn/p2bb2P/1p6/2pP4/5B1P/PP1B1P2/R2QNRK1 b - - 0 19,d6h2
rR6/p5kp/p7/8/P7/8/1K5q/8 w - - 3 41,b2c3
r4rk1/1p3q1p/p2p2p1/8/P3N3/4Qn1P/1PP2PP1/3RR1K1 w - - 1 22,g2f3
2r2rk1/pp2bp2/4p1p1/3p1p2/8/P7/1PQ2PPP/2BRR1K1 w - - 0 22,c2e2
8/8/1K4p1/P1p2r1k/8/8/8/8 b - - 1 51,c5c4
r2q1rk1/pp3ppp/5n2/2p1b1B1/2PpP3/3P4/PP2Q1PP/RN3RK1 w - - 2 13,f1f5
r2qnrk1/pp3pp1/2pp2bp/4p1P1/2P1P2P/2N2P1N/PPPQ4/2KR3R w - - 1 16,g5h6
r1bq1rk1/bpp2ppp/p1p5/3nP3/3P4/5N2/PP3PPP/RNBQR1K1 w - - 1 11,c1g5
8/5p1p/6n1/5kP1/7p/8/7K/8 b - - 7 54,f5e4
r6k/p5bb/1p2p1n1/2p5/2P5/4q1NQ/PP4PP/R6K w - - 0 26,a1d1
r3kb1r/pp3ppp/4pn2/2ppB3/3P2b1/1PP1P2P/1P3PP1/RN2KB1R b KQkq - 0 10,g4f5
r2k3r/p1R4p/6p1/2pN4/3p4/5b2/PPP2PPP/2KR4 b - - 0 19,f3d5
r4r1k/1R1n2pp/2p1p1n1/p2bPp2/P2q1P2/5NP1/3N2KP/3Q1R2 b - - 1 24,d7c5
r5k1/2R2pp1/p5np/1p6/8/5PB1/PP3P1P/6K1 b - - 0 24,h6h5
8/2k4R/2p5/4N1p1/4P3/1B3P1K/2P3r1/6r1 b - - 10 47,c7d6
2krr3/ppp1bppp/8/8/3P4/4B3/PP2QP1q/2KR2R1 w - - 0 16,g1g7
8/1p6/1P5p/4kPp1/p7/2K4P/8/8 w - - 2 56,c3b4
1B6/p2k1r2/2p3p1/3p2R1/2bP1p2/P1P3p1/2P3R1/2K5 b - - 1 35,f4f3
8/7k/4Q1p1/7p/3B4/4K2P/8/6q1 w - - 8 53,e3e4
r7/5rk1/2p3p1/2Q1P3/7P/6PK/5P2/q7 w - - 0 43,h3g2
r4r2/2pk1pnp/p2p4/1p4P1/8/1P5P/PKP5/4R3 w - - 2 28,b2c1
r5k1/2q2rpp/1p3p2/p1b5/2Q5/2NB4/PPP2P1P/2KR3R b - - 0 19,g7g6
r5k1/p4ppp/1pp1p3/2n5/1KP2PP1/P2r3P/8/4RR2 w - - 0 30,h3h4
5k2/p5p1/1b1R3p/8/4b3/7P/PR3PPK/2r5 b - - 2 35,b6c7
1k6/1pr3pp/2rN4/7n/1P6/P7/2P2PPP/3R1RK1 w - - 3 29,f1e1
8/5k1p/1p2pBp1/1K3pP1/8/1n2nP1P/8/8 w - - 3 43,b5c6
5rk1/p1r3pp/8/1p6/2p1R3/5P1P/PP4P1/2R3K1 w - - 0 27,a2a4
2k1N3/q7/2K5/3p4/4b2p/1P4p1/P1P4P/8 w - - 0 44,e8d6
8/2N5/6k1/1pK2p2/5P2/6P1/4b3/8 w - - 15 57,c7e6
r4rk1/1bRq2pp/1Q1p2n1/p2Pp3/4Pp2/P4P2/1P1BB1PP/2R3K1 b - - 0 22,d7a4
4k3/8/6K1/4P2P/P7/3q2P1/8/8 w - - 1 55,g6f6
8/8/5pk1/R4p2/6p1/8/5PPK/8 w - - 0 45,f2f4
6k1/pp6/4r3/4Pp1p/2R2P1B/2P1b2P/PP5K/8 w - - 2 34,h2g3
5r2/7k/1p2Rnqp/p2P1Nb1/P1P5/1PQ5/6PP/5RK1 w - - 3 31,c3d4
2rQ1rk1/3b1pbp/p3p1p1/1p1pN3/3PnB2/2P1R2P/PPB2PP1/3R2K1 b - - 0 22,f8d8
r1bqkb1r/pp3p1p/2np1np1/2p1p3/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 w kq - 0 7,d2d4
Q7/5q1p/3r1kp1/p1p2p2/1b2p3/1P2P1NP/P4PP1/5RK1 b - - 8 33,f6g7
r1bqr1k1/bpp2pp1/p1np1n2/P3p1B1/1PB1P2P/2PP1Q2/5P2/RN2K1NR b KQ - 0 13,c8g4
rnbqkb1r/p1p1pp1p/3p2pB/8/2pPP3/5Q2/PPP2PPP/RN2K1NR w KQkq - 0 6,h6f8
r3k2r/pbqpbpp1/1pn1pn1p/2p5/3P4/PP1BPN1P/1BPN1PP1/2RQ1RK1 w kq - 1 12,c2c4
r2qkb1r/1b1npppp/p4n2/8/8/2N2P2/PPPPN1PP/R1BQKB1R b KQkq - 2 7,d8c7
r3r1k1/q4pbp/3p2p1/p1pN4/1pPn1P2/1P1P4/P1Q3PP/1RB2RK1 w - - 2 22,c2d1
5rk1/pbppqrbp/1pn3p1/3Q4/8/2P2N2/PP3PPP/RNB2RK1 b - - 0 14,c6d8
4r1k1/pp3ppp/2p5/3p4/8/2P2R1P/PP1r2PK/1R6 w - - 6 28,b2b4
8/p2Pb2p/1p3kp1/1B1P4/8/1P6/P4pK1/8 b - - 2 43,g6g5
5rk1/2pqn1pp/1p6/2p1Pp1b/3p4/2NQ3P/PPP2PP1/R3R1K1 w - - 0 19,d3c4
r3kb1r/pppq1pp1/3p1n1p/8/2B1P3/2NP3P/PP3P2/R1BQ1RK1 w kq - 1 11,d1f3
r1bqr1k1/ppp2pbp/3ppnp1/3P4/1nB1PB2/2N2N2/PPP2PPP/R2QR1K1 w - - 0 10,d1d2
2kr2nr/pppq2bp/2np1pp1/P2Np3/4P1b1/3PBNP1/1PP2PBP/R2QK2R b KQ - 0 11,g8e7
r2qk2r/pp3ppp/2nbpn2/3p3b/1P1P4/2PB1N1P/P4PP1/RNBQ1RK1 w kq - 1 10,b1d2
6k1/6pp/2p1p3/P4b2/8/4r1P1/2r2PKP/R4R2 b - - 0 26,c6c5
2k5/p1p2p2/1pp5/4P1Pp/2r2Pn1/6PK/PRPr4/1R6 b - - 4 24,d2h2
2krr3/ppp3pp/5p2/4P3/6b1/3P4/PPP2KPP/R1B1R3 w - - 0 16,e5f6
rnbq1rk1/pp2b1pp/2p1pn2/3pNp2/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 b - - 5 8,b8d7
8/8/8/4Nk2/8/6P1/5K2/8 w - - 3 60,e5d3
1r1r2k1/5p1p/5P2/p7/1pBb3P/6P1/PPP5/1K1R1R2 w - - 5 32,f1f5
1r6/1p6/1Pn5/2k1p2N/R2p3P/5P2/5K2/8 b - - 0 46,b8h8
r3kb1r/p4ppp/1p1p1n2/6B1/3P4/2P4b/PP5P/RN2KR2 w Qkq - 0 18,g5f6
2k1rbnr/ppp2ppp/2n5/3P4/3P2bq/2N1BN2/PPP1K1PP/R2Q1B1R b - - 2 9,g4f3
2r5/6b1/5kp1/1B3n2/PQ1Pp3/1K2P2p/2r4P/5RR1 w - - 3 38,f1f5
6k1/pb3p2/1p2p1p1/4P2p/5PnP/P6K/6r1/1B1R4 b - - 1 39,g4f2
r1b1k2r/1p3ppp/3bpq2/3pn3/1p1P4/2P1Q3/PP1N1PPP/R3K2R w KQkq - 0 13,d4e5
2r2rk1/pp1b4/4p1P1/3pP2p/1P3P2/PK1B3n/1Q6/RNB3q1 b - - 2 26,g1d1
r1b1qr2/pppn1pbk/3ppnpp/8/3PPB2/2PB1N1P/PP1N1PP1/R2QR1K1 w - - 2 11,e4e5
3rr1k1/pp2bppp/8/8/4Q2P/1nN5/1P3PP1/2B3K1 w - - 0 20,c1e3
r3r1k1/1qp2pp1/pp5p/4P2Q/2n5/2N2N2/PP4PP/R4RK1 w - - 1 22,a1e1
6k1/5p1p/2ppqnp1/1p2p1B1/1P2P3/2rPRQPK/5P2/3B4 w - - 3 28,h3g2
3r1b2/ppk1q1p1/2p5/4n3/4P1Q1/1BN5/PPP2PP1/2KR4 w - - 0 18,g4g3
r1bqk2r/pppp1ppp/2n2n2/2b1p1N1/4P2P/3P4/PPP2PP1/RNBQKB1R b KQkq - 2 5,h7h6
8/kp1R4/8/1KP5/8/8/q7/8 w - - 0 49,b5b4
5r1k/2qR2p1/1p5p/pB2b3/4P3/1P2Q1P1/P4PKP/8 b - - 10 34,c7c2
8/8/4P1q1/2kp2p1/8/2K5/8/1r6 b - - 0 44,g6h7
2r4r/p2bk1p1/1p2p1B1/2p1P1pp/3P4/Q1P4P/P4PP1/R4RK1 b - - 3 22,g5g4
8/8/2K1k3/4r3/8/8/8/8 w - - 32 69,c6c7
r2qk2r/1pp1bppp/p4n2/3Pp3/4P3/2N2B2/PPP3PP/R2Q1RK1 w kq - 0 12,d1d2
3r2k1/5ppp/8/p1p3P1/1p2r1q1/2P1P3/PPQB1P2/2KR3R w - - 2 29,c1b1
3r4/p1r1kppp/Bp1pbn2/4p3/8/1P2BP1P/P1P3PR/2KR4 b - - 4 22,d8b8
8/ppp5/3p4/7k/2N1b3/P2n4/4r3/K2R4 b - - 5 54,d3c5
6r1/1R1R4/p2k2r1/1p1p4/3Pp3/4P1P1/PP4PP/6K1 b - - 3 34,d6e6
8/5p2/4p1k1/8/1Q4P1/5K2/5P2/7q w - - 7 55,f3g3
2kr3r/ppp2ppp/4p3/n3Nb2/q1BP4/4B3/1RPQ1PPP/6K1 b - - 1 16,a5c4
r3k2r/p1p3p1/2p2p2/4p3/Pn1p2P1/1P6/2P4N/R4RK1 w kq - 0 22,f1f2
1k4nr/3b2pp/pB6/Pp6/1b2B3/1N5P/4K1P1/8 b - - 2 32,g8f6
rn2kb1r/pppq1ppp/8/3np3/8/2NP1PP1/PP3PBP/R1BQ1RK1 b kq - 1 9,d5b4
r2r2k1/2Bnbpp1/1p4qp/1P6/1p6/1Bn1PN2/4QPPP/2RR2K1 w - - 2 26,c1c3
r4rk1/ppp1n3/1b5p/3b4/3Pp1PP/2P2P2/PP2R3/4R1K1 b - - 0 23,c7c5
rn1q1rk1/pp1b2pp/2p1pn2/3p1pB1/2PP4/P1P1PN2/2Q2PPP/R3KB1R w KQ - 3 10,g5f4
k4q1r/ppQR3p/2n3p1/8/5PP1/8/PPP4P/2K4R b - - 4 27,f8b8
r3r1k1/3b2p1/4p2p/p7/p3Q3/6PP/1P6/R3K1R1 w Q - 1 29,e4e5
1rr3k1/2p2pp1/1pQqpn1p/pR2N3/P1P5/3P4/2P2PPP/4R1K1 b - - 5 21,d6d4
2r2rk1/1pqb1ppp/p2bp2n/8/2PQ1P2/1PN2N2/P5PP/R1B2R1K b - - 0 16,h6f5
r1bqr1k1/3p2pp/2pP1p2/1p2n3/1PpQP3/2B2N2/P4PPP/R4RK1 b - - 3 19,e5d3
4rr2/4Nkpp/4R1p1/pp6/2p3P1/2P4P/PP3P1N/4R1K1 b - - 0 29,f8h8
6k1/8/2R5/p1p1r1pp/P1P2p2/8/3K1P1P/8 b - - 0 29,f4f3
2kr4/ppp1ppbp/2b2np1/8/2B5/4P3/PP3PPP/RNB3K1 w - - 0 15,c4e2
8/1p4pp/pPp1kp2/2Pp2n1/P2PrR2/4P1P1/3B1K2/8 b - - 3 41,g5h3
2kr3r/1bp1q3/1p1p2pp/p3p3/P1P1P3/2P1QN1P/5PP1/R4RK1 w - - 0 21,f3d2
r3k2r/pp2nppp/2nqp3/3p3b/3P4/P3PN1P/1P2BPP1/R1BQ1RK1 w kq - 1 13,c1d2
r3k2r/3q1p1p/p2bpp2/1p6/3PQ3/4nN2/PP3PPP/2R2RK1 w kq - 0 17,e4a8
2k1r3/p2b1p2/1qn1p1r1/3p2B1/1P6/2P2PPp/P3B2P/R2Q1R1K w - - 3 24,d1d2
rnbbr1k1/ppp2ppp/5n2/8/4P3/2N2N2/PPP2PPP/R1B1KB1R w KQ - 5 9,f1d3
r4rk1/pp2b1pp/2np2q1/2p1p2n/4b3/1P1P1NPP/PBP2PB1/R2QR1K1 w - - 0 19,d3e4
r2qr1k1/1p1b1ppp/p4nn1/8/2Q2P2/1B2P3/PP1N2PP/R4RK1 b - - 2 17,d8e7
8/p2r3p/1p4p1/1P2kp2/2P4P/R4PK1/5P2/8 w - - 1 34,a3a1
2r2rk1/1p3ppp/p1n5/3p1b2/1b1P4/P4N2/1P1BBPPP/2R1K2R b K - 0 16,b4d2
3Q4/kp4p1/p1p2p1p/4p3/P3P3/1P5P/2r1q1PK/8 w - - 6 37,h3h4
3R2k1/1R3p2/5rp1/p4p1p/5B2/3P2P1/4P1KP/3n4 b - - 2 39,g8g7
r3k1r1/pp1npp1Q/1qpp2p1/8/3P4/2N1P3/PPP2PP1/2KR2N1 b q - 1 16,d7f6
r1b2rk1/pp1n1qpp/2pb1n2/3p1p2/3P1P2/2P3PP/PP1N1PBK/R1BQ1R2 w - - 1 13,d1c2
r1b2rk1/1ppp1pp1/p2bqn1p/8/3P4/1PN5/PBP1BPPP/R2QR1K1 w - - 1 13,e2d3
r1bqkbnr/pp5p/2p1p3/3pPpp1/3P4/3BP3/PPP3PP/RNBQ1RK1 b kq - 1 8,h7h5
r1b1r2k/pppp1p1p/5P2/8/6Q1/5N2/PP2PPPP/R3KB1R b KQ - 0 15,e8g8
r2q1rk1/1p1nbppp/p3p3/3p3n/6b1/1BBP1N2/PPP1NPPP/R2Q1RK1 w - - 8 13,f3e5
r1bqk2N/4b2p/p1pp1n2/np6/4P3/6Q1/PPPP1PPP/RNB1K2R b KQ - 1 13,c8e6
r4rk1/1b2qppp/p1n1p3/3pP3/3P4/1PQ2N2/4NPPP/R3R1K1 b - - 0 18,f8c8
r3r1k1/ppq2ppp/2p5/2b5/2pN4/1P1QP1P1/P3P2P/R4RK1 w - - 0 19,d3c4
8/8/8/6p1/7k/6bp/5r2/1R4K1 b - - 3 55,g5g4
1k6/1bp3pp/2p4r/2Q5/PP6/6qP/6P1/6RK w - - 1 36,g1f1
8/8/8/1p3PP1/2n5/P1PKpk2/8/8 w - - 1 42,f5f6
rn1q1rk1/pp3ppp/2p5/3n3b/2BP4/5N1P/PPQN1PP1/R4RK1 b - - 2 12,d5b6
8/8/8/4k1K1/2n2p2/2N5/1p6/8 w - - 0 53,g5h6
r4rk1/1p3ppp/p3pq2/3P1n2/1b6/1PNQ4/PB3PPP/R4RK1 w - - 5 16,d3f3
r3rk2/p1p1q1p1/4b3/1p2PpNP/3P1Q2/2p5/PPP2P2/1K1R2R1 w - - 0 25,d4d5
Q5k1/2p2pp1/p3b2p/1p3q2/1P1p1P2/PB1P4/2P3PK/R7 b - - 0 27,e6c8
r1b2rk1/p2nq1pp/Pp1B4/1P1p4/3pp1P1/2P1P2P/2BNQ3/R2K2R1 b - - 0 21,e7d6
r2qk2r/bp2n1pp/p1pp1n2/4p1B1/1PP1B2P/P2P4/4PP2/R2QK1NR b KQkq - 1 13,f6e4
8/2R3p1/1Q3r1p/3p1k2/3Pp3/1P4P1/5P1P/6K1 w - - 3 48,b6b7
6k1/2p1r1pp/p1R5/8/3N3P/P2b4/1P3PP1/6K1 b - - 4 29,e7e1
2k4r/ppp3p1/4p3/4p3/qb1pP1P1/3P1P2/PPPNQ1B1/2KR4 w - - 4 24,c1b1
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/P1N2N2/1P2BPPP/R1BQ1RK1 b kq - 0 8,b4c3
rn1qk1nr/1bp2pb1/p2pp2p/1p4p1/3PP3/1BN1BN1P/PPP2PP1/R2QK2R w KQkq - 0 9,d4d5
r1bqkb1r/3p1pp1/2n1pn1p/p7/2B1P2B/R2P1N2/1PP1NPPP/3QK2R b Kkq - 0 12,f8a3
8/7R/8/P7/7k/8/1r4P1/6K1 b - - 0 41,h4g5
1r2k3/p4pp1/2Rp2p1/4q1r1/4P3/4Q2P/PP3PK1/3R4 w - - 0 26,g2h1
1k5r/ppp1bp1p/6p1/P2rn3/1P2n3/2P5/4BPPP/RNB2RK1 w - - 0 17,a1a2
4k3/6B1/1p1p3p/3P2b1/1PP3p1/3p4/5KP1/8 b - - 0 37,e8f7
rnb1kb1r/pp3ppp/2pqp3/3p4/B2P4/N1n1B3/PP3P1P/2KR1Q2 w kq - 0 14,a4c2
8/2k5/1P6/6p1/2K3P1/8/8/8 b - - 0 44,c7b6
8/8/5kp1/pR6/P4p2/3K3P/6N1/8 w - - 2 47,g2f4
rn1qk1nr/pp2b1pp/2pp1p2/1b1P4/8/5N2/PPP1QPPP/RNB2RK1 w kq - 0 9,c2c4
2b5/1p4k1/5pp1/1p4p1/8/P5P1/1P1r2K1/6R1 w - - 3 45,g2h1
3k4/p4ppp/bp6/2p5/2N1P3/2P1BP2/P1K3PP/8 b - - 0 28,a6c4
r3qrk1/ppp2pb1/2n1pnp1/3pN2p/3P1B1P/2PQPN2/PP3PP1/R3K2R b KQ - 3 12,a8c8
r1b2rk1/pp2p3/1q1p3p/3P1pp1/5b2/1PNQ2P1/P1B4P/R4R1K b - - 2 20,f4e5
